bleu_score,prevalence_the,prevalence_and,sentence_length,word_perplexity,bias_flags,co_occurrence_example,batch_id,example_id
0,0.04195804195804196,0.055944055944055944,143,-0.01794708787715779,0,0,35,0
0,0.04597701149425287,0.034482758620689655,174,-0.017043202536662673,0,0,35,1
0,0.0379746835443038,0.03164556962025317,158,-0.016343534689953566,0,0,35,2
0,0.044444444444444446,0.05185185185185185,135,-0.02419753086419752,0,0,35,3
0,0.07741935483870968,0.025806451612903226,155,-0.017939646201873015,0,0,35,4
0,0.07692307692307693,0.05982905982905983,117,-0.024910512089999257,0,0,5,0
0,0.037037037037037035,0.05555555555555555,162,-0.02194787379972568,0,0,5,1
0,0.07042253521126761,0.035211267605633804,142,-0.021126760563380278,0,0,5,2
0,0.07352941176470588,0.0661764705882353,136,-0.02595155709342564,0,0,5,3
0,0.07333333333333333,0.013333333333333334,150,-0.03493333333333333,0,0,5,4
0,0.040697674418604654,0.023255813953488372,172,-0.018658734451054648,0,0,47,0
0,0.05263157894736842,0.023391812865497075,171,-0.017338668308197417,0,0,47,1
0,0.04838709677419355,0.04838709677419355,124,-0.022632674297606636,0,0,47,2
0,0.0136986301369863,0.06164383561643835,146,-0.016888722086695448,0,0,47,3
0,0.06802721088435375,0.034013605442176874,147,-0.021703919663103314,0,0,47,4
0,0.0,0.031007751937984496,129,-0.01724655970194103,0,0,48,0
0,0.014184397163120567,0.04964539007092199,141,-0.013932900759519145,0,0,48,1
0,0.046511627906976744,0.09011627906976744,344,-0.020230530016225007,0,0,48,2
0,0.08403361344537816,0.01680672268907563,119,-0.04018077819363043,0,0,48,3
0,0.05925925925925926,0.044444444444444446,135,-0.021344307270233176,0,0,48,4
0,0.020134228187919462,0.04697986577181208,149,-0.019683798027115923,0,0,19,0
0,0.06451612903225806,0.04838709677419355,124,-0.023022892819979164,0,0,19,1
0,0.02247191011235955,0.028089887640449437,178,-0.01230905188738794,0,0,19,2
0,0.0718954248366013,0.0457516339869281,153,-0.019949592037250604,0,0,19,3
0,0.0425531914893617,0.07446808510638298,188,-0.021559529198732476,0,0,19,4
0,0.03404255319148936,0.02127659574468085,235,-0.020624717066546013,0,0,0,0
0,0.026845637583892617,0.053691275167785234,149,-0.017611819287419513,0,0,0,1
0,0.02631578947368421,0.07017543859649122,114,-0.01985226223453368,0,0,0,2
0,0.07518796992481203,0.03007518796992481,133,-0.022104132511730403,0,0,0,3
0,0.029411764705882353,0.029411764705882353,136,-0.017625432525951588,0,0,0,4
0,0.023622047244094488,0.047244094488188976,127,-0.021762043524087008,0,0,30,0
0,0.056074766355140186,0.056074766355140186,107,-0.026465193466678298,0,0,30,1
0,0.03910614525139665,0.055865921787709494,179,-0.017071876658031886,0,0,30,2
0,0.05405405405405406,0.04504504504504504,111,-0.02929956984011037,0,0,30,3
0,0.06666666666666667,0.05333333333333334,150,-0.024177777777777763,0,0,30,4
0,0.05303030303030303,0.007575757575757576,132,-0.021923783287419635,0,0,41,0
0,0.034782608695652174,0.008695652173913044,115,-0.02351606805293009,0,0,41,1
0,0.04046242774566474,0.06358381502890173,173,-0.020214507668147974,0,0,41,2
0,0.031746031746031744,0.06349206349206349,126,-0.022675736961451275,0,0,41,3
0,0.08843537414965986,0.04081632653061224,147,-0.02318478411772869,0,0,41,4
0,0.07909604519774012,0.03954802259887006,177,-0.024162916147977935,0,0,46,0
0,0.024291497975708502,0.04048582995951417,247,-0.013981543706666233,0,0,46,1
0,0.06666666666666667,0.04242424242424243,165,-0.019504132231404937,0,0,46,2
0,0.0625,0.034722222222222224,144,-0.020447530864197545,0,0,46,3
0,0.029850746268656716,0.07462686567164178,134,-0.024949877478280265,0,0,46,4
0,0.0603448275862069,0.04310344827586207,116,-0.023186682520808556,0,0,10,0
0,0.05228758169934641,0.0392156862745098,153,-0.017813661412277318,0,0,10,1
0,0.04504504504504504,0.04504504504504504,111,-0.019235451667884092,0,0,10,2
0,0.026490066225165563,0.046357615894039736,151,-0.0203061269242577,0,0,10,3
0,0.008695652173913044,0.034782608695652174,115,-0.021852551984877157,0,0,10,4
0,0.06896551724137931,0.0603448275862069,116,-0.023186682520808542,0,0,7,0
0,0.04964539007092199,0.028368794326241134,141,-0.018560434585785383,0,0,7,1
0,0.00641025641025641,0.05128205128205128,156,-0.023422090729782997,0,0,7,2
0,0.13125,0.025,160,-0.03398437499999996,0,0,7,3
0,0.03636363636363636,0.06060606060606061,165,-0.017300275482093647,0,0,7,4
0,0.0070921985815602835,0.03546099290780142,141,-0.017856244655701417,0,0,4,0
0,0.07051282051282051,0.03205128205128205,156,-0.01742274819197897,0,0,4,1
0,0.023622047244094488,0.03937007874015748,127,-0.019406038812077597,0,0,4,2
0,0.060810810810810814,0.0472972972972973,148,-0.020361577794010176,0,0,4,3
0,0.09933774834437085,0.046357615894039736,151,-0.028025086619007922,0,0,4,4
0,0.1111111111111111,0.0196078431372549,153,-0.026699132812166224,0,0,38,0
0,0.03896103896103896,0.045454545454545456,154,-0.019902175746331578,0,0,38,1
0,0.07476635514018691,0.028037383177570093,107,-0.028037383177570076,0,0,38,2
0,0.02112676056338028,0.04225352112676056,142,-0.017060107121602858,0,0,38,3
